WALL NXT TO STAIRS @ TAXI RANK @ BUCHANAN BUS STATION 10,KILLERMONT STREET,CITY CENTRE GLASGOW,,G2 3NP,55.8636,-4.2612
IN TICKET OFFICE AT BUCHANAN STREET UNDERGROUND STATION,BUCHANAN STREET,CITY CENTRE GLASGOW,,G1 2LW,55.862402,-4.2529385
IN TICKET OFFICE AT Hillhead Subway Station,Hillead Subway Station,GLASGOW,,G12 8SH,55.875446,-4.2931654
IN TICKET OFFICE AT GOVAN UNDERGROUND STATION,GOVAN ROAD,LINTHOUSE GLASGOW,,G51 1HJ,55.853866,-4.2917818
IN TICKET OFFICE AT ST ENOCH SUBWAY STATION,St Enoch Subway Station,GLASGOW,,G1 4DB,55.857764,-4.2559298
IN TICKET OFFICE OF IBROX UNDERGROUND STATION,COPLAND ROAD,IBROX GLASGOW,,G51 2UD,55.854578,-4.3046224
ON SIDE OF HOTEL EDINBANE INN,UNNAMED ROAD,EDINBANE PORTREE,Isle Of Skye,IV51 9PW,57.469127,-6.4322061
ON WALL OF VILLAGE HALL,ST ANDREWS ROAD,LARGOWARD LEVEN,Fife,KY9 1HZ,56.2578,-2.8578215
NEXT TO ENTRANCE DOOR DURHAM HALL,DURHAM WYND,LOWER LARGO LEVEN,Fife,KY8 6DL,56.21491,-2.9378367
ON THE WALL OF CENTRAL STORES,1 MAIN STREET,LOWER LARGO LEVEN,Fife,KY8 6BW,56.212221,-2.9405764
ON THE WALL OF STUARTS BAKERS,7 LEVEN ROAD,LUNDIN LINKS LEVEN,Fife,KY8 6AQ,56.213775,-2.9523684
ON WALL OF GREENKEEPERS SHED LUNDIN GOLF CLUB,GOLF ROAD,LUNDIN LINKS LEVEN,Fife,KY8 6BA,56.210981,-2.9535566
LOCATED ON THE WALL OF LOUNGE ABOUT,JAMES STREET,PITTENWEEM ANSTRUTHER,Fife,KY10 2QN,56.214736,-2.7291286
AT THE PHARMACY WALL,MARKET PLACE,PITTENWEEM ANSTRUTHER,Fife,KY10 2PH,56.212899,-2.7298514
ASK STAFF AT FIRE STATION,CASTLE STREET,ST MONANS ANSTRUTHER,Fife,KY10 2AP,56.205725,-2.7705302
AT ENTRANCE OF CLUB HOUSE LUNDIN GOLF CLUB,GOLF ROAD,LUNDIN LINKS LEVEN,Fife,KY8 6BA,56.210981,-2.9535566
